timestamp,close
2019-06-28,197.9200
2019-06-27,199.7400
2019-06-26,199.8000
2019-06-25,195.5700
2019-06-24,198.5800
2019-06-21,198.7800
2019-06-20,199.4600
2019-06-19,197.8700
2019-06-18,198.4500
2019-06-17,193.8900
2019-06-14,192.7400
2019-06-13,194.1500
2019-06-12,194.1900
2019-06-11,194.8100
2019-06-10,192.5800
2019-06-07,190.1500
2019-06-06,185.2200
2019-06-05,182.5400
2019-06-04,179.6400
2019-06-03,173.3000
2019-05-31,175.0700
2019-05-30,178.3000
2019-05-29,177.3800
2019-05-28,178.2300
2019-05-24,178.9700
2019-05-23,179.6600
2019-05-22,182.7800
2019-05-21,186.6000
2019-05-20,183.0900
2019-05-17,189.0000
2019-05-16,190.0800
2019-05-15,190.9200
2019-05-14,188.6600
2019-05-13,185.7200
2019-05-10,197.1800
2019-05-09,200.7200
2019-05-08,202.9000
2019-05-07,202.8600
2019-05-06,208.4800
2019-05-03,211.7500
2019-05-02,209.1500
2019-05-01,210.5200
2019-04-30,200.6700
2019-04-29,204.6100
2019-04-26,204.3000
2019-04-25,205.2800
2019-04-24,207.1600
2019-04-23,207.4800
2019-04-22,204.5300
2019-04-18,203.8600
2019-04-17,203.1300
2019-04-16,199.2500
2019-04-15,199.2300
2019-04-12,198.8700
2019-04-11,198.9500
2019-04-10,200.6200
2019-04-09,199.5000
2019-04-08,200.1000
2019-04-05,197.0000
2019-04-04,195.6900
2019-04-03,195.3500
2019-04-02,194.0200
2019-04-01,191.2400
2019-03-29,189.9500
2019-03-28,188.7200
2019-03-27,188.4700
2019-03-26,186.7900
2019-03-25,188.7400
2019-03-22,191.0500
2019-03-21,195.0900
2019-03-20,188.1600
2019-03-19,186.5300
2019-03-18,188.0200
2019-03-15,186.1200
2019-03-14,183.7300
2019-03-13,181.7100
2019-03-12,180.9100
2019-03-11,178.9000
2019-03-08,172.9100
2019-03-07,172.5000
2019-03-06,174.5200
2019-03-05,175.5300
2019-03-04,175.8500
2019-03-01,174.9700
2019-02-28,173.1500
2019-02-27,174.8700
2019-02-26,174.3300
2019-02-25,174.2300
2019-02-22,172.9700
2019-02-21,171.0600
2019-02-20,172.0300
2019-02-19,170.9300
2019-02-15,170.4200
2019-02-14,170.8000
2019-02-13,170.1800
2019-02-12,170.8900
2019-02-11,169.4300
2019-02-08,170.4100
2019-02-07,170.9400
2019-02-06,174.2400
